X,Y,Z,X.1,Y.1,Z.1,X.2,Y.2,Z.2,X.3,Y.3,Z.3,X.4,Y.4,Z.4,X.5,Y.5,Z.5,X.6,Y.6,Z.6,X.7,Y.7,Z.7,X.8,Y.8,Z.8,X.9,Y.9,Z.9,X.10,Y.10,Z.10,X.11,Y.11,Z.11,X.12,Y.12,Z.12,X.13,Y.13,Z.13,X.14,Y.14,Z.14,X.15,Y.15,Z.15,X.16,Y.16,Z.16,X.17,Y.17,Z.17,X.18,Y.18,Z.18,X.19,Y.19,Z.19,X.20,Y.20,Z.20,X.21,Y.21,Z.21,X.22,Y.22,Z.22,X.23,Y.23,Z.23,X.24,Y.24,Z.24,X.25,Y.25,Z.25
1639.143,2206.475,-1533.242,1583.346,2313.019,-1664.194,1576.159,2440.921,-1493.949,1209.171,2320.865,-1578.165,1146.209,2270.984,-1463.094,1352.538,2370.555,-1246.328,1117.907,2425.501,-1246.103,951.243,2276.236,-1385.199,1012.351,2216.111,-1414.822,893.427,2417.577,-1674.13,1365.257,2612.985,-1691.134,1110.089,2608.433,-1656.084,0.0,2373.504,-1723.727,1060.741,0.0,0.0,981.887,2304.856,-1497.657,975.475,2455.151,-1396.369,0.0,2530.58,-1469.046,1023.875,2276.95,-1552.285,489.049,2360.909,-1676.249,364.438,2446.003,-1568.001,77.127,2336.577,-1644.145,92.453,2320.602,-1719.792,674.222,2612.315,-1622.477,465.629,2666.084,-1570.236,166.083,2769.859,-1378.662,48.329,2666.35,-1503.682
1641.009,2197.995,-1538.592,1584.915,2303.125,-1670.743,1577.828,2432.516,-1501.982,1211.053,2311.447,-1584.918,1148.231,2262.804,-1469.297,1354.612,2365.844,-1253.74,1121.944,2420.929,-1253.645,954.31,2268.219,-1389.136,1015.699,2207.514,-1417.113,896.426,2407.026,-1682.124,1367.336,2602.496,-1700.623,1112.175,2598.204,-1665.365,0.0,2361.788,-1729.284,1063.886,0.0,0.0,986.162,2296.33,-1505.063,977.409,2447.479,-1404.935,0.0,2522.195,-1478.446,1025.799,2269.503,-1557.368,489.155,2353.727,-1682.884,360.843,2430.739,-1588.907,70.433,2318.527,-1664.155,95.505,2301.95,-1740.263,676.628,2604.269,-1631.851,467.781,2661.34,-1578.032,171.155,2768.772,-1385.598,48.696,2665.995,-1506.475
1642.401,2189.519,-1543.906,1585.854,2293.472,-1676.967,1578.945,2424.071,-1510.026,1212.046,2302.082,-1591.753,1149.542,2254.578,-1475.615,1355.771,2360.837,-1261.212,1124.559,2416.045,-1261.372,956.669,2259.773,-1393.624,1018.174,2198.768,-1420.031,898.754,2396.683,-1689.867,1368.745,2592.224,-1710.079,1113.614,2588.161,-1674.508,0.0,2350.936,-1735.705,1066.017,0.0,0.0,989.14,2287.826,-1512.445,978.576,2439.309,-1413.912,0.0,2513.806,-1487.575,1027.056,2262.503,-1563.055,488.534,2346.725,-1689.44,357.024,2416.115,-1609.358,64.566,2301.776,-1682.98,98.637,2284.029,-1758.685,678.283,2595.57,-1641.801,468.411,2656.208,-1586.321,176.115,2767.491,-1390.776,0.0,2665.798,-1509.373
1643.293,2181.095,-1549.224,1586.164,2283.746,-1683.292,1579.464,2415.599,-1517.893,1212.517,2292.732,-1598.669,1150.168,2246.314,-1482.1,1356.235,2355.554,-1268.783,1126.163,2410.821,-1269.288,958.243,2251.028,-1398.684,1019.801,2190.017,-1423.559,900.384,2386.448,-1697.645,1369.417,2582.038,-1719.405,1114.371,2578.277,-1683.553,1006.785,2340.513,-1742.402,1067.184,0.0,0.0,990.782,2279.353,-1519.983,979.103,2431.257,-1422.453,0.0,2505.499,-1496.439,1027.586,2255.534,-1568.903,487.228,2339.795,-1696.047,352.953,2401.979,-1627.61,59.414,2285.915,-1700.257,101.639,2267.065,-1775.656,679.09,2586.232,-1652.382,468.356,2650.504,-1595.026,180.94,2766.099,-1399.191,0.0,2665.208,-1511.611
1643.528,2172.767,-1554.462,1585.801,2273.988,-1689.62,1579.373,2407.082,-1525.672,1212.29,2283.475,-1605.569,1150.133,2237.992,-1488.733,1355.967,2349.988,-1276.453,1126.828,2405.272,-1277.322,958.981,2242.165,-1404.18,1020.645,2181.262,-1427.82,901.334,2376.352,-1705.315,1369.346,2571.997,-1728.509,1114.459,2568.577,-1692.494,1007.029,2330.258,-1749.117,1067.387,0.0,0.0,991.116,2270.799,-1527.394,977.874,2423.196,-1430.769,0.0,2497.169,-1505.055,1027.747,2248.602,-1574.755,485.237,2332.845,-1702.757,349.007,2388.994,-1644.989,54.972,2271.046,-1715.48,104.222,2250.922,-1790.18,679.133,0.0,0.0,467.603,2644.341,-1604.236,185.71,2764.224,-1407.412,0.0,2664.619,-1514.583
1643.208,2164.54,-1559.734,1584.728,2264.484,-1695.803,1578.579,2398.592,-1533.429,1211.341,2274.306,-1612.476,1149.432,2229.663,-1495.33,1355.003,2344.16,-1284.222,1126.529,2399.406,-1285.537,959.025,2233.237,-1410.306,1020.628,2172.633,-1432.738,901.573,2366.333,-1712.967,1368.526,2561.948,-1737.453,1113.828,2559.109,-1701.25,1004.937,2319.166,-1754.79,1066.596,0.0,0.0,990.094,2262.22,-1534.82,977.089,2415.26,-1438.913,0.0,2488.884,-1513.557,1026.869,2241.964,-1580.333,482.699,2325.829,-1709.717,345.15,2377.2,-1661.361,50.939,2257.302,-1728.536,105.785,2235.633,-1802.346,678.393,0.0,0.0,466.155,2637.697,-1613.797,190.208,2762.292,-1416.75,0.0,2663.878,-1517.753
1642.206,2156.384,-1564.951,1582.914,2255.097,-1701.945,1577.096,2390.137,-1541.147,1209.674,2265.178,-1619.405,1148.046,2221.312,-1501.891,1353.361,2337.98,-1292.059,1125.156,2393.163,-1293.905,958.26,2224.197,-1416.971,1019.704,2164.118,-1438.238,901.05,2356.491,-1720.55,1366.976,2552.017,-1746.218,1112.47,2549.764,-1709.925,1002.851,2309.499,-1761.875,1064.807,0.0,0.0,987.735,2253.649,-1542.14,975.99,2407.257,-1447.042,0.0,2478.208,-1523.249,1025.232,2234.64,-1586.426,479.742,2318.654,-1716.969,341.475,2366.508,-1675.42,47.214,2244.774,-1739.348,106.011,2221.37,-1812.422,676.869,0.0,0.0,463.929,2630.6,-1623.844,194.526,2760.145,-1427.012,0.0,2662.974,-1521.049
1640.567,2148.415,-1570.101,1580.354,2245.814,-1708.068,1574.879,2381.719,-1548.796,1207.253,2256.141,-1626.323,1146.065,2212.954,-1508.654,1351.023,2331.596,-1299.977,1122.901,2386.674,-1302.41,956.508,2215.148,-1424.13,1017.847,2155.41,-1444.67,899.743,2346.771,-1728.099,1364.671,2542.322,-1754.751,1110.319,2540.661,-1718.361,999.61,2300.186,-1769.092,1062.03,0.0,0.0,984.046,2245.003,-1549.29,973.923,2399.308,-1455.154,0.0,2469.569,-1531.878,1022.828,2226.935,-1592.896,476.431,2311.344,-1724.639,337.899,2356.898,-1687.259,43.499,2233.646,-1748.159,104.925,2208.341,-1820.229,674.62,0.0,0.0,461.174,2623.107,-1634.272,198.633,2757.604,-1437.449,0.0,2661.927,-1524.595
1638.201,2140.515,-1575.284,1577.125,2236.636,-1714.154,1571.975,2373.286,-1556.402,1204.136,2247.229,-1633.248,1143.347,2204.619,-1515.452,1347.974,2325.072,-1307.836,1119.636,2379.812,-1311.046,954.027,2206.059,-1431.752,1015.113,2146.676,-1451.717,897.604,2337.225,-1735.595,1361.652,2532.779,-1763.126,1107.4,2531.626,-1726.689,995.182,2291.02,-1776.421,1058.21,0.0,0.0,978.991,2236.397,-1556.332,971.038,2391.408,-1463.282,0.0,2461.021,-1540.505,1019.661,2217.953,-1600.289,472.654,2303.676,-1732.518,334.262,2348.629,-1698.069,39.675,2223.945,-1755.351,102.67,2196.656,-1826.809,671.608,2531.691,-1713.006,457.661,2615.301,-1645.03,0.0,2754.95,-1449.139,0.0,2660.735,-1528.494
1635.291,2132.637,-1580.511,1573.257,2227.607,-1720.254,1568.404,2364.428,-1562.993,1200.3,2238.35,-1640.14,1139.875,2196.33,-1522.113,1344.209,2318.142,-1315.705,1115.405,2372.62,-1319.725,950.598,2196.973,-1439.81,1011.392,2137.733,-1459.555,894.622,2327.838,-1742.979,1357.923,2523.458,-1771.345,1103.734,2522.736,-1734.834,989.644,2282.094,-1783.921,1053.366,0.0,0.0,972.581,2227.732,-1563.38,0.0,2383.537,-1471.517,0.0,0.0,0.0,1015.755,2209.796,-1607.184,468.499,2295.691,-1740.513,330.349,2341.016,-1706.33,35.503,2215.594,-1761.752,99.244,2186.551,-1832.555,667.868,2520.035,-1724.042,453.466,2607.266,-1656.161,0.0,2751.611,-1460.531,0.0,2659.348,-1532.709
1631.638,2124.856,-1585.675,1568.744,2218.664,-1726.236,1564.21,2356.073,-1570.419,1195.773,2229.515,-1647.095,1135.734,2188.035,-1528.933,1339.712,2310.991,-1323.466,1110.073,2365.081,-1328.411,946.261,2187.977,-1448.225,1006.685,2128.65,-1468.002,890.708,2318.584,-1750.383,1353.473,2514.207,-1779.377,1099.311,2513.976,-1742.757,0.0,2273.374,-1791.521,1047.542,0.0,0.0,964.913,2219.047,-1570.313,966.15,2375.809,-1479.77,0.0,0.0,0.0,1011.196,2201.297,-1614.751,463.829,2287.258,-1748.329,325.968,2334.667,-1714.657,30.866,2208.578,-1767.594,94.719,2178.078,-1837.922,663.207,2508.065,-1737.344,448.501,2599.101,-1667.648,0.0,2747.732,-1472.15,0.0,2657.831,-1537.412
1627.343,2117.116,-1590.844,1563.642,2209.853,-1732.195,1559.365,2347.761,-1577.732,1190.559,2220.734,-1653.964,1131.071,2179.736,-1535.612,1334.436,2303.343,-1331.256,1103.675,2357.167,-1337.15,940.842,2178.991,-1456.957,1000.95,2119.505,-1477.046,885.986,2309.449,-1757.649,1348.328,2505.126,-1787.172,1094.23,2505.374,-1750.504,0.0,2264.829,-1799.293,1040.782,0.0,0.0,955.999,2210.369,-1577.225,961.602,2368.064,-1488.129,0.0,0.0,0.0,1005.951,2193.55,-1622.029,458.535,2278.609,-1755.808,321.045,2329.106,-1722.084,25.635,2202.507,-1773.367,89.106,2171.2,-1843.418,657.969,2496.0,-1750.954,442.778,2590.753,-1679.484,0.0,2743.508,-1484.619,0.0,2656.03,-1542.625
1622.425,2109.453,-1596.0,1557.922,2201.106,-1738.065,1553.899,2339.455,-1584.913,1184.633,2211.985,-1660.863,1125.675,2171.435,-1542.367,1328.431,2295.455,-1338.9,1096.299,2348.881,-1345.851,934.157,2170.117,-1466.037,994.343,2109.514,-1485.886,880.357,2300.361,-1764.922,1342.517,2496.139,-1794.716,1088.527,2496.888,-1758.121,0.0,2256.433,-1807.136,1033.202,2212.731,-1828.546,945.882,2201.691,-1584.126,956.464,2360.37,-1496.515,0.0,0.0,0.0,1000.074,2185.007,-1630.467,452.583,2270.0,-1763.131,315.402,2323.869,-1729.088,19.571,2197.115,-1779.329,82.551,2165.532,-1849.024,652.009,2483.95,-1764.769,436.539,2582.325,-1691.689,0.0,2738.659,-1497.122,0.0,2653.872,-1548.697
1616.885,2101.883,-1601.108,1551.565,2192.476,-1743.876,1547.804,2331.202,-1591.902,1178.0,2203.242,-1667.722,1119.622,2163.111,-1549.072,1321.626,2287.215,-1346.479,1087.832,2340.234,-1354.577,927.01,2161.215,-1475.497,986.735,2100.514,-1496.949,873.971,2291.331,-1772.118,1336.007,2487.265,-1802.059,1082.271,2488.581,-1765.607,0.0,2248.317,-1815.082,1024.821,2205.652,-1837.106,934.663,2192.869,-1591.071,950.703,2352.648,-1505.038,0.0,0.0,0.0,993.561,2177.126,-1639.214,445.879,2261.957,-1770.282,309.052,2318.035,-1734.148,15.684,2192.122,-1785.721,74.979,2161.278,-1856.16,645.3,2471.861,-1778.82,0.0,2573.725,-1704.201,0.0,2733.204,-1509.74,0.0,2651.359,-1555.994
1610.716,2094.412,-1606.164,1544.563,2183.904,-1749.625,1541.035,2322.979,-1598.762,1170.637,2194.51,-1674.566,1112.958,2154.728,-1555.909,1314.109,2278.608,-1354.005,1078.657,2331.215,-1363.297,919.026,2152.187,-1485.307,978.327,2090.887,-1507.583,866.782,2282.371,-1779.277,1328.868,2478.523,-1809.234,1075.483,2480.455,-1773.072,0.0,2240.609,-1823.096,1015.684,2199.118,-1845.982,922.422,2179.574,-1596.307,943.789,2344.827,-1513.626,0.0,0.0,0.0,986.427,2169.6,-1647.666,438.345,2254.763,-1777.278,301.919,2313.095,-1738.584,14.713,2188.908,-1792.034,65.312,2158.488,-1863.382,637.95,2459.79,-1793.302,0.0,2565.026,-1717.02,0.0,2726.932,-1522.2,0.0,2648.532,-1565.149
1604.047,2087.009,-1611.119,1537.057,2175.456,-1755.332,1533.701,2314.8,-1605.478,1162.823,2185.808,-1681.454,1105.569,2146.354,-1562.692,1305.916,2269.806,-1361.455,1068.565,2321.792,-1372.103,910.328,2143.064,-1495.465,969.12,2081.079,-1518.732,859.003,2273.456,-1786.371,1321.141,2469.982,-1816.232,1068.318,2472.607,-1780.494,0.0,2233.313,-1831.391,1005.893,2193.226,-1855.245,909.263,2170.993,-1603.312,936.629,2337.139,-1521.981,0.0,2401.859,-1590.251,978.756,2161.981,-1654.828,430.239,2247.63,-1784.781,294.373,2312.069,-1741.59,15.012,2189.17,-1796.682,49.165,2158.264,-1867.351,630.019,2447.701,-1808.128,0.0,2556.139,-1730.187,0.0,2719.937,-1534.253,0.0,2645.588,-1577.165
1597.628,2079.369,-1616.052,1529.59,2166.847,-1761.043,1526.2,2306.715,-1612.07,1154.416,2177.048,-1688.321,1097.685,2138.047,-1569.469,1297.176,2260.558,-1368.894,1057.807,2312.01,-1380.974,901.455,2133.858,-1505.992,959.318,2070.702,-1529.964,850.709,2264.683,-1793.477,1312.952,2461.566,-1823.152,1060.748,2464.863,-1787.868,0.0,2229.078,-1843.187,995.552,2187.874,-1864.852,895.233,2162.805,-1610.246,928.857,2329.505,-1529.68,0.0,2395.104,-1611.424,970.459,2153.656,-1660.663,423.533,0.0,0.0,290.512,2311.748,-1746.075,15.736,2186.716,-1800.436,35.301,2157.39,-1873.339,621.435,2435.517,-1823.018,0.0,2546.969,-1743.485,0.0,2712.321,-1546.012,0.0,2641.61,-1590.923
